Id,Title,Body
11,Parsing math equations,"<p>Just for kicks, I'm trying to create an application that can simplify, factor, and expand algebra equations. Programming the rules seems as if it will be straight forward if I can get the equations into a good workable format. Parsing the equations is proving to be a hassle, Currently working with Python but I'm not against having to learn something new. </p>

<p>Are there any libraries (for any language) that would make this project pretty simple, or is that a pipe dream? </p>

<p>[Tagging this with Haskell because I have a feeling that's where the 'simple' is]</p>
"
12,What book to use to learn Algorithms and Data Structures?,"<p>I want to learn Algorithms and become fluent in them. My goal is to land a job as a Software Development Engineer at either Google or Microsoft. I've been recommended to use the book ""Introduction to Algorithms"" by Cormen.</p>

<p>But I feel like the book is not for beginners.</p>

<p>Can anyone recommend a book on Algoritms that I can find easier ? one that after reading can help me read and understand Intro to Alg. ?</p>
"
13,"Using pytables, which is more efficient: scipy.sparse or numpy dense matrix?","<p>When using <code>pytables</code>, there's no support (as far as I can tell) for the <code>scipy.sparse</code> matrix formats, so to store a matrix I have to do some conversion, e.g.</p>

<pre><code>def store_sparse_matrix(self):
    grp1 = self.getFileHandle().createGroup(self.getGroup(), 'M')
    self.getFileHandle().createArray(grp1, 'data', M.tocsr().data)
    self.getFileHandle().createArray(grp1, 'indptr', M.tocsr().indptr)
    self.getFileHandle().createArray(grp1, 'indices', M.tocsr().indices)

def get_sparse_matrix(self):
    return sparse.csr_matrix((self.getGroup().M.data, self.getGroup().M.indices, self.getGroup().M.indptr))
</code></pre>

<p>The trouble is that the <code>get_sparse</code> function takes some time (reading from disk), and if I understand it correctly also requires the data to fit into memory.</p>

<p>The only other option seems to convert the matrix to dense format (<code>numpy array</code>) and then use <code>pytables</code> normally. However this seems to be rather inefficient, although I suppose perhaps <code>pytables</code> will deal with the compression itself?</p>
"
14,Getting plot boundaries in R,"<p><strong>My question: How do I find the boundaries for the plot area?</strong></p>

<p>I'm using the <a href=""http://rforge.org/plothr/"" rel=""nofollow"">plotHR</a> function for plotting splines from cox regressions. I've done some adaptations found <a href=""http://pastebin.com/v0LZje5F"" rel=""nofollow"">here</a> and the density plot annoys me so I want to be able to change it to a simple regular polygon without the need for using a second plot. The problem is that the second plot needs repositioning as soon as the medium size changes.</p>

<p>Now I know I can use the plot_boundaries.y and plot_boundaries.x together with the limits and adding the xaxs/yaxs information but this seems like not the most intuitive way of doing this. Is there an easy way of getting my plots bottom left x,y and top right x,y?</p>

<p>Here's an example of how to use the plotHR:</p>

<pre><code>library(survival)

hmohiv&lt;-read.table(""http://www.ats.ucla.edu/stat/R/examples/asa/hmohiv.csv"", sep="","", header = TRUE)

surv &lt;- with(hmohiv, Surv(time, censor))
fit &lt;- coxph(surv~ pspline(age), data=hmohiv)
par(xaxs=""i"", yaxs=""i"")
plotHR(fit, bty=""l"", ylim=c(.4, 5), y.ticks=c(.5, 1, 1.5, 2, 3, 4), xlim=c(25, 55))
</code></pre>
"
15,Defining controlling parameters for graphs globally in knitr,"<p>To control the size of graph in <code>knitr</code> I use the following code</p>

<pre><code>\begin{figure}[H]
   \centering
&lt;&lt; label = Plot1, fig.width=5, fig.height=5, out.width=.7\linewidth, fig.keep = all&gt;&gt;=
...
@
    \caption{Plot}
    \label{fig:figPlot1}
\end{figure}
</code></pre>

<p>I wonder how to define these controlling parameters for graphs globally instead for defining each graph. Thanks for your help and time.</p>
"
16,selecting certain rows in a data frame,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/3971006/r-get-qualifying-rows-from-data"">R: get qualifying rows from data?</a>  </p>
</blockquote>



<p>I like to retrieve rows that meet some criteria. for example, from the below set up numbers, I like to retrieve rows Percent_free &lt; 10. How would I do this in R?</p>

<pre><code> Date             file                 Percent_free
2011-12-06            /tmp             2
2011-12-06            /var             9
2011-12-06            /crash           11
</code></pre>
"
17,Is there any difference between DATE_SUB() and using arithmetic operators for datetime calculation?,"<p>After I have seen a lot of questions here using the <code>DATE_SUB()</code> or <code>DATE_ADD()</code> functions instead of the arithmetic operators <code>+</code> or <code>-</code>, I was wondering if there was any difference:</p>

<p>Quote from the <a href=""http://dev.mysql.com/doc/refman/5.1/en/date-and-time-functions.html#function_date-add"" rel=""nofollow"">MySQL-manual</a>:</p>

<blockquote>
  <p>Date arithmetic also can be performed using INTERVAL together with the + or
  - operator:</p>

<pre><code>date + INTERVAL expr unit
date - INTERVAL expr unit
</code></pre>
</blockquote>

<p>So basically, these two statements return the same result:</p>

<pre><code>SELECT DATE_ADD(NOW(), INTERVAL 7 DAY);
</code></pre>

<p>and</p>

<pre><code>SELECT NOW() + INTERVAL 7 DAY;
</code></pre>

<p>Now my question:</p>

<p><strong>Is there any difference between <code>DATE_SUB()</code> and using the <code>-</code> operator in MySQL?</strong> (besides readability?)</p>
"
18,"Equivalent of ""throw"" in R","<p>How does one ""throw"" an error in R?  I have a function that takes a data frame and some column names and does stuff with them.  If the columns don't exist, I want the function to stop and to stop all functions depending on it. </p>

<p>I have looked at <code>recover</code> and <code>browse</code> and <code>traceback</code> but, well, they seemed to be close but not what I am looking for.</p>
"
19,"I have imported the data in R, how to make a scatter plot?","<p>I'm new to <code>R</code>, and have imported my dataset as follows (dots mean that there is remaining data):</p>

<pre><code>&gt; num.csv &lt;- read.csv(""c:/num.csv"", header=T)
&gt; print(num.csv)
            X.Y
1     22500;482
2       25842;1
3       27221;1
4       32757;1
5       40152;1
.       .
.       .
.       .
</code></pre>

<p>How can I make a scatter plot for this data?</p>

<p>Thanks.</p>
"
20,strsplit one column with exact information into two column,"<p>I have data looking like this:</p>

<pre><code>    SNP Geno Allele
marker1   G1    AA
marker2   G1    TT
marker3   G1    TT
marker1   G2    CC
marker2   G2    AA
marker3   G2    TT
marker1   G3    GG
marker2   G3    AA
marker3   G3    TT
</code></pre>

<p>And I want it to look like this:</p>

<pre><code>    SNP Geno Allele1 Allele2
marker1   G1       A       A
marker2   G1       T       T
marker3   G1       T       T
marker1   G2       C       C
marker2   G2       A       A
marker3   G2       T       T
marker1   G3       G       G
marker2   G3       A       A
marker3   G3       T       T
</code></pre>

<p>I am using this:</p>

<pre><code>strsplit(Allele, split extended = TRUE)
</code></pre>

<p>But this is not working. Do I need additional commands?</p>
"
21,Writing a 36 bit random number generator,"<p>I'm writing an application in an environment that features</p>

<ul>
<li>36 bit one's complement integers</li>
<li>arithmetic limited to <code>+</code>, <code>-</code>, <code>*</code>, <code>/</code> and remainder</li>
<li>no bit operations like <code>AND</code> or <code>OR</code>. But because of one's complement, <code>XOR</code> is equivalent to subtraction and <code>NOT</code> to negation.</li>
<li>numeric overflow is fatal, so can't be used for silent truncation</li>
<li>Yes, there are conditionals: <code>IF/THEN/ELSEIF/ELSE/IF</code>.</li>
</ul>

<p>Ideally, I'd like 35 or 36 bit random integers, but 25 bits would suffice too.</p>

<p>My naive implementations of the <a href=""http://en.wikipedia.org/wiki/Linear_congruential_generator"">linear congruential generator</a> run into overflow if based on sufficiently large numbers and produce only a small number of bits when I use smaller numbers.</p>

<p>So I'm looking either for a set of numbers <em>a,c,m</em> that will yield the maximum number of bits in the constraints, or a sensible adaptation of the LCG to combine 2 or more numbers.</p>

<p>As a starting point, here's what I'm using so far:</p>

<pre><code>*DEFINE NextRandom . min,max resultVar
* . This is a very shitty RNG. The numbers were never checked
* . for suitability for a long-period linear congruential generator.
* . But it yields numbers that look vaguely random.
*CLEAR rq
*CLEAR rr
*SET RandZ = RandZ * 169687 + 347011      . RandZ is a global var.
*DIVIDE RandZ BY 131072 GIVING rq, RandZ  . Division yields a remainder
*DIVIDE RandZ BY 4 GIVING rq
*SET r0 = +[#,[#],1,1]                    . r0 = argument 'min'
*SET r9 = +[#,[#],1,2]                    . r9 = 'max'
*SET rd = r9 - r0 + 1
*DIVIDE rq BY rd GIVING rq, rr
*SET [#,[#],2,1] TO r0 + rr               . return in 'resultVar'
*ENDDEFINE
</code></pre>

<hr>

<p>In case anyone cares, the scripting language is SSG (Symbolic Stream Generator) in a UNISYS 2200 mainframe operating system called EXEC 8.</p>

<hr>

<p>On criticality: The app this RNG works in generates test data. It's not encrypting state secrets or the nuclear missile codes. So we're talking about ""nice to have"" and ""best effort"" rather than ""mission critical."" I'd be happy about an improvement but am not looking for the ultimate solution.</p>
"
22,ggplot - change line width,"<p>I can plot each series in a different colour in ggplot2 by doing something like this ...</p>

<pre><code>colours &lt;- c('red', 'blue')
p &lt;- ggplot(data=m, mapping=aes_string(x='Date', y='value'))
p &lt;- p + geom_line(mapping=aes_string(group='variable', colour='variable'), size=0.8)
p &lt;- p + scale_colour_manual(values=colours)
</code></pre>

<p>Is there something comparable I can do to set different line widths for each series? (Ie. I want to use a thick red line to plot the trend and a thin blue line to plot the seasonally adjusted series.)</p>
"
23,Is it possible to open raster layer or stack in RGUI from the directory?,"<p>Hi i want to open an image file which is in tiff format and i am creating a GUI with the help of packages RGtk2 and gwidgets, i am able to browse tiff format file but the problem is it is not displaying anywhere, for that i need a window or frame which display that layer or any raster brick, please anyone tell me how is it possible to do with RGUI.</p>
"
24,How can I remove repeated characters in a string with R?,"<p>I would like to implement a function with <code>R</code> that removes repeated characters in a string. For instance, say my function is named <code>removeRS</code>, so it is supposed to work this way:</p>

<pre><code>  removeRS('Buenaaaaaaaaa Suerrrrte')
  Buena Suerte
  removeRS('Hoy estoy tristeeeeeee')
  Hoy estoy triste
</code></pre>

<p>My function is going to be used with strings written in spanish, so it is not that common (or at least correct) to find words that have more than three successive vowels. No bother about the possible sentiment behind them. Nonetheless, there are words that can have two successive consonants (especially ll and rr), but we could skip this from our function.</p>

<p>So, to sum up, this function should replace the letters that appear at least three times in a row with just that letter. In one of the examples above, <code>aaaaaaaaa</code> is replaced with <code>a</code>.</p>

<p>Could you give me any hints to carry out this task with <code>R</code>?</p>
"
25,Making multiple plots in R from one textfile,"<p>I'm new to R and trying to generate a lot of graphs from one file, with headers between different data sets.
I have a tab-delimited plaintext file, formatted like this:</p>

<pre><code>Header: Boston city data
Month    Data1    Data2    Data3
1        1.5      9.1342   8.1231
2        12.3     12.31    1.129
3        (etc...)  

Header: Chicago city data
Month    Data1    Data2    Data3
1        1.5      9.1342   8.1231
2        12.3     12.31    1.129
...
</code></pre>

<p>I would like to create a graph of month vs Data1, month vs Data2, and month vs Data2, for each city.</p>

<p>I know in python, I could iterate through each line, do something different if the line starts with 'Header', and then somehow process the numbers. I would like to simply do this:</p>

<pre><code>for (data block starting with header) in inf:
    data = read.delim()
    barplot(data, main=header, ylab=""Data1"", xlab=""Month"")
    # repeat for Data2, Data3
</code></pre>

<p>but I'm not sure how to actually iterate through the file, or if I should just split up my file by city into lots of small files, then run through a list of small files to read.</p>
"
26,R - logic manipulation via vector operations,"<p>I would like to convert this piece of logic with purely matrix operations instead of for loops. The logic is that in my binary value vector, I want to note every transition point (i.e. where 0 turns to 1 and where 1 turns to 0). Otherwise I want to retain the original values. While a simple loop is fast enough for small vector, I'll need to perform this operation several times over large datasets hence the need for efficiency via matrics. </p>

<pre><code>x &lt;- c(1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1);
y &lt;- rep(-2, length(x));
y[1] &lt;- x[1];
for(i in 2:length(x)){
     if((x[i]==1 &amp;&amp; x[i-1]==0) || (x[i]==0 &amp;&amp; x[i-1]==1)){
       y[i] = -1;
    }
    else{
       y[i] = x[i];
     }
}
</code></pre>

<p>final value of y is
    1 -1 0 0 0 -1 1 -1 0 -1 -1 -1 -1 -1 -1 0 0 -1</p>

<p>I'm a new convert to R, many thanks in advance</p>
"
27,How to replace a value in multiple columns based on criteria?,"<p>I would like to replace all values <code>99</code> with <code>NA</code> for all records where <code>ART == '999'</code> only in columns <code>L1:L8</code>. I know how to do this for once column at a time, but I would like to do this more efficiently for all columns in one command.</p>

<p>Sample data:</p>

<pre><code>df &lt;- structure(list(KARTA = c(""02C2H"", ""02C2H"", ""02C2H"", ""02C2H"", 
""02C2H"", ""02C2H"", ""02C2H"", ""02C2H"", ""02C2H"", ""02C2H"", ""02C2H"", 
""02C2H"", ""02C2H"", ""02C7H"", ""02C7H"", ""02C7H"", ""02C7H"", ""02C7H"", 
""02C7H"", ""02C7H"", ""02C7H"", ""02C7H"", ""02C7H"", ""02C7H"", ""02C7H""
), YEAR = c(1997L, 1999L, 2000L, 2001L, 2002L, 2003L, 2005L, 
2006L, 2007L, 2008L, 2009L, 2010L, 2011L, 1997L, 1998L, 2000L, 
2001L, 2002L, 2003L, 2004L, 2006L, 2008L, 2009L, 2010L, 2011L
), ART = c(""999"", ""999"", ""100"", ""100"", ""100"", ""999"", ""999"", ""999"", 
""999"", ""999"", ""999"", ""999"", ""999"", ""999"", ""999"", ""999"", ""999"", 
""999"", ""999"", ""999"", ""999"", ""999"", ""999"", ""999"", ""999""), L1 = c(99, 
99, 99, 99, 99, 10, 10, 10, 10, 10, 10, 10, 10, 99, 99, 99, 99, 
99, 10, 10, 10, 10, 10, 10, 10), L2 = c(99, 99, 99, 99, 99, 10, 
10, 10, 10, 10, 10, 10, 10, 99, 99, 99, 99, 99, 10, 9, 10, 10, 
10, 10, 10), L3 = c(99, 99, 99, 99, 99, 7, 10, 10, 10, 10, 10, 
10, 10, 99, 99, 99, 99, 99, 10, 10, 10, 10, 10, 10, 10), L4 = c(99, 
99, 99, 99, 99, 10, 10, 10, 10, 10, 10, 10, 10, 99, 99, 99, 99, 
99, 10, 10, 8, 7, 7, 10, 8), L5 = c(99, 99, 99, 99, 99, 5, 8, 
10, 10, 10, 10, 10, 10, 99, NA, 99, 99, 99, 10, 10, 7, 7, 0, 
10, 8), L6 = c(99, 99, 99, 99, 99, 8, 10, 10, 10, 10, 10, 10, 
10, 99, 99, 99, 99, 99, 10, 9, 10, 10, 10, 10, 10), L7 = c(99, 
99, 99, 99, 99, 10, 10, 10, 10, 10, 10, 8, 10, 99, 99, 99, 99, 
99, 10, 10, 10, 10, 10, 10, 10), L8 = c(99, 99, 99, 99, 99, 10, 
10, 10, 10, 10, 10, 10, 10, 99, 99, 99, 99, 99, 10, 10, 6, 10, 
10, 10, 10)), .Names = c(""KARTA"", ""YEAR"", ""ART"", ""L1"", ""L2"", 
""L3"", ""L4"", ""L5"", ""L6"", ""L7"", ""L8""), row.names = c(161008L, 161009L, 
161010L, 161011L, 161012L, 87055L, 106223L, 128072L, 160909L, 
172583L, 208774L, 45L, 227972L, 161013L, 161014L, 161015L, 161016L, 
161017L, 71813L, 89034L, 139633L, 181266L, 208838L, 97L, 225989L
), class = ""data.frame"")
</code></pre>

<p>Example of how to replace values in a single column ('L1')</p>

<pre><code>df[which(df$ART == '999' &amp; df$L1 == '99'), ] &lt;- NA
</code></pre>
"
28,Efficient way of finding distance between two 3D points,"<p>I am writing a code in C++ and want to compute distance between two points. 
<strong>Question 1:</strong> </p>

<p>I have two points P(x1, y1, z1) and Q(x2, y2, z2)  , where x, y and z are floats/doubles. </p>

<p>I want to find the distance between these two points. One way to do it is :</p>

<p>square_root(x_diff*x_diff + y_diff*y_diff + z_diff*z_diff) </p>

<p>But this is probably not the most efficient way . (e.g. a better formula or a ready made utility in <code>math.h</code> etc ) </p>

<p><strong>Question 2:</strong> </p>

<p>Is there a better way if I just want to determine if P and Q are in fact the same points? </p>

<p>My inputs are x, y and z coordinates of both the points. </p>

<p>Thank you</p>
"
29,NumPy k-th diagonal indices,"<p>I'd like to do arithmetics with k-th diagonal of a numpy.array. I need those indices.
For example, something like:</p>

<pre><code>&gt;&gt;&gt; a = numpy.eye(2)
&gt;&gt;&gt; a[numpy.diag_indices(a, k=-1)] = 5
&gt;&gt;&gt; a
array([[ 1.,  0.],
       [ 5.,  1.]])
</code></pre>

<p>Unfortunately, diag_indices only returns the indices comprising the main diagonal, so at the moment I am doing:</p>

<pre><code>a += numpy.diag([5], -1)
</code></pre>

<p>But that doesn't seem as nice or robust. :-)</p>

<p>Is there a way in numpy to get indices to other than the main diagonal?</p>
"
30,Why does the logarithm algorithm for Divide Two Integers fail some special test cases?,"<p>I tried to used the formula <code>a/b = e^(ln a - ln b)</code> to solve the infamous <code>Divide 2 Integers</code> without using / % * question, however for some test cases <code>(dividend=Integer.MAX_VALUE or MIN_VALUE and divisor=1)</code> my solution fails.</p>

<p>Why does it fail?</p>

<p>[EDIT]: The answers I get for that test case are <code>(MAX-1 or MIN+1)</code>. I'd like to know why this happens.</p>

<pre><code>public int divide(int dividend, int divisor) {
    boolean neg = false;
    if ((dividend &lt; 0 &amp;&amp; divisor &gt; 0) || (dividend &gt; 0 &amp;&amp; divisor &lt; 0))
        neg = true;

    long a = dividend;
    a = Math.abs(a);
    long b = divisor;
    b = Math.abs(b);

    double res = Math.pow(Math.E, Math.log(a) - Math.log(b));
    int ans = Math.floor(res);
    return neg ? -ans : ans;
}
</code></pre>
"
31,Splitting Strings and Generating Frequency Tables in R,"<p>I have a column of firm names in an R dataframe that goes something like this:</p>

<pre><code>""ABC Industries""  
""ABC Enterprises""  
""123 and 456 Corporation""  
""XYZ Company""
</code></pre>

<p>And so on.  I'm trying to generate frequency tables of every word that appears in this column, so for example, something like this:</p>

<pre><code>Industries   10  
Corporation  31  
Enterprise   40  
ABC          30  
XYZ          40  
</code></pre>

<p>I'm relatively new to R, so I was wondering of a good way to approach this.  Should I be splitting the strings and placing every distinct word into a new column?  Is there a way to split up a multi-word row into multiple rows with one word?   </p>

<p>Thanks.</p>
"
32,classify cell array in matlab,"<p>I want to do text categorization on a dataset of news. I have a lot of features like <code>subject</code>, <code>keyword</code>, <code>summary</code>, etc... all of these features are stored in one cell array of structs, each struct looking like this:</p>

<pre><code>       label: 'misc.forsale'
        subj: ' Motorcycle wanted.'
     keyword: [1x190 char]
   reference: []
organization: ' Worcester Polytechnic Institute'
        from: ' kedz@bigwpi.WPI.EDU (John Kedziora)'
     summary: []
       lines: ' 11'
       vocab: [4x2 double]
</code></pre>

<p>I want to classify them with <code>class = classify(test, train, target, 'diaglinear');</code><br>but these functions only receive arrays as input, and do not accept cells or structs.</p>

<p>I can't convert this cell array to <em>one</em> multidimensional array because the amount of features varies (for example, one subject has two words and other has three words).</p>

<p>What can I do?</p>
"
33,Why do I get an error when I call int(input()) where input is decimal (eg. '87.94')?,"<p>I'm a programming newbie having difficulty with Python multiplication. I have code like this:</p>

<pre><code>def getPriceDiscount():
    price = int(input())
    if price &gt; 3000:
        priceDiscount = price * 0.6
        return priceDiscount
    else:
        return price
</code></pre>

<p>But when I execute it and type an input which is a decimal number like 87.94, I get the following error:</p>

<pre><code>ValueError: invalid literal for int() with base 10: '87.94'
</code></pre>

<p>Isn't the <code>int()</code> method able to convert the string '87.94' into a number allowing me to multiply it by 0.6? What should I do to perform that conversion?</p>

<p>I'm using Python 3.2.2.</p>
"
34,Detect conflicts between packages in R,"<p>I've recently found out that errors can be caused due to conflicts between packages, that is, two (or more) packages might have functions named similarly. I know that the code <code>search ()</code> produces the list of packages ordered in the way R reads them. There is also the <code>args</code> code which gives the function read by R.  <br/> What I would like to know firstly is how to detect if an error is being produced because of conflicts between packages and secondly how to find out which packages are conflicting? Finally, after the conflicts have been detected, how can we force R to use specifically the function from  one of the packages?</p>
"
35,ggplot2 : Adding two errorbars to each point in scatterplot,"<p>I need to plot two error-bars on each point in a scatterplot. The usual is vertical error-bars that corresponds to the error on the points y-value, but I need to add the error-bar associated with the X-axis (horizontal) as well. I could probably do this with some abline command, but thought there might be a more clever way to do it with ggplot2?</p>
"
36,Changing Tor identity in R,"<p>I am using Tor in combination with R and would like to change my IP for each new request. The code I have is as follows:</p>

<pre><code>library(RCurl)
opts &lt;- list(proxy=""127.0.0.1"", proxyport=8118)
for (i in 1:10)
  {
  con &lt;- socketConnection(host=""127.0.0.1"",port=9051)  # DOES NOT WORK
  writeLines(""signal newnym"", con=con)                 # DOES NOT WORK
  ip &lt;- getURL(""http://ifconfig.me/ip"", .opts = opts)  
  print(ip)
  Sys.sleep(1)
  }  
</code></pre>

<p>I am able to connect via Tor, however the two lines marked as 'DOES NOT WORK' don't seem to get the proper signal across to Tor, so the IP stays the same.</p>

<p>Regards!</p>
"
37,How to perform single factor ANOVA in R with samples organized by column?,"<p>I have a data set where the samples are grouped by column.  The following sample dataset is similar to my data's format:</p>

<pre><code>a = c(1,3,4,6,8)
b = c(3,6,8,3,6)
c = c(2,1,4,3,6)
d = c(2,2,3,3,4)

mydata = data.frame(cbind(a,b,c,d))
</code></pre>

<p>When I perform a single factor ANOVA in Excel using the above dataset, I get the following results:</p>

<p><img src=""http://i.stack.imgur.com/aBdfH.jpg"" alt=""enter image description here""></p>

<p>I know a typical format in R is as follows:</p>

<pre><code>group  measurement
a      1
a      3
a      4
.      .
.      .
.      .
d      4
</code></pre>

<p>And the command to perform ANOVA in R would be to use <code>aov(group~measurement, data = mydata)</code>.  <strong>How do I perform single factor ANOVA in R with samples organized by column rather than by row?</strong>  In other words, how do I duplicate the excel results using R?  Many thanks for the help.</p>
"
38,Dot product of every element with every other element of an array,"<p>Is there an easy way to take the dot product of one element of an array with every other?
So given:</p>

<pre><code>array([[1, 2, 3],
       [4, 5, 6],
       [7, 8, 9]])
</code></pre>

<p>I would like to get the result:</p>

<pre><code>array([  32.,   50.,  122.])
</code></pre>

<p>I.e. a[0] dot a[1], a[0] dot a[2], a[1] dot a[2].</p>

<p>The array I am working with will NOT be square; that's just an example.</p>

<p>Thanks!</p>
"
